Fecha,Symbol,Tipo_Evento,General,Technology Services,Electronic Technology,Finance,Retail Trade,Health Technology,Consumer Non-Durables,Producer Manufacturing,Energy Minerals,Consumer Services,Consumer Durables,Utilities,Non-Energy Minerals,Industrial Services,Transportation,Commercial Services,Process Industries,Communications,Health Services,Distribution Services
7/30/2026,AAPL,Magnificent 7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,ABBV,Top 3 sector,,,,,,4,,,,,,,,,,,,,,
7/29/2026,ADP,Top 3 sector,,,,,,,,,,,,,,,,4,,,,
5/5/2026,AMD,Top 3 sector,,,4,,,,,,,,,,,,,,,,,
8/4/2026,AMGN,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
7/31/2026,AMZN,Magnificent 7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6/4/2026,AVGO,Top 3 sector,,,4,,,,,,,,,,,,,,,,,
7/24/2026,AXP,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
7/29/2026,BA,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
8/5/2026,CAT,Top 3 sector,,,,,,,,4,,,,,,,,,,,,
7/30/2026,CI,Top 3 sector,,,,,,,,,,,,,,,,,,,4,
,COP,Top 3 sector,,,,,,,,,4,,,,,,,,,,,
5/28/2026,COST,Top 3 sector,,,,,4,,,,,,,,,,,,,,,
5/27/2026,CRM,Top 3 sector,,4,,,,,,,,,,,,,,,,,,
5/13/2026,CSCO,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
5/6/2026,CVS,Top 3 sector,,,,,,,,,,,,,,,,,,,4,
5/5/2026,DD,Top 3 sector,,,,,,,,,,,,,,,,,4,,,
7/21/2026,DHI,Top 3 sector,,,,,,,,,,,4,,,,,,,,,
5/6/2026,DIS,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
7/23/2026,DOW,Top 3 sector,,,,,,,,,,,,,,,,,4,,,
5/5/2026,DUK,Top 3 sector,,,,,,,,,,,,4,,,,,,,,
7/27/2026,F,Top 3 sector,,,,,,,,,,,4,,,,,,,,,
7/23/2026,FCX,Top 3 sector,,,,,,,,,,,,,4,,,,,,,
6/23/2026,FDX,Top 3 sector,,,,,,,,,,,,,,,,,,,,4
7/16/2026,GE,Top 3 sector,,,,,,,,4,,,,,,,,,,,,
7/21/2026,GM,Top 3 sector,,,,,,,,,,,4,,,,,,,,,
5/6/2026,GOLD,Top 3 sector,,,,,,,,,,,,,4,,,,,,,
,GOOGL,Magnificent 7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/14/2026,GS,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
5/19/2026,HD,Top 3 sector,,,,,4,,,,,,,,,,,,,,,
,HON,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
7/22/2026,IBM,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
7/23/2026,INTC,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
7/14/2026,JNJ,Top 3 sector,,,,,,4,,,,,,,,,,,,,,
7/14/2026,JPM,Top 3 sector,,,,4,,,,,,,,,,,,,,,,
,K,Top 3 sector,,,,,,,4,,,,,,,,,,,,,
7/30/2026,KO,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
8/5/2026,LIN,Top 3 sector,,,,,,,,,,,,,,,,,4,,,
7/23/2026,LLY,Top 3 sector,,,,,,4,,,,,,,,,,,,,,
,LUV,Top 3 sector,,,,,,,,,,,,,,,4,,,,,
5/7/2026,MA,Top 3 sector,,,,4,,,,,,,,,,,,,,,,
,MCD,Top 3 sector,,,,,,,,,,4,,,,,,,,,,
7/17/2026,META,Magnificent 7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
8/4/2026,MMM,Top 3 sector,,,,,,,,4,,,,,,,,,,,,
7/30/2026,MRK,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
7/1/2026,MSFT,Magnificent 7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,MSM,Top 3 sector,,,,,,,,,,,,,,4,,,,,,
7/23/2026,NEE,Top 3 sector,,,,,,,,,,,,4,,,,,,,,
6/25/2026,NEM,Top 3 sector,,,,,,,,,,,,,4,,,,,,,
7/22/2026,NKE,Top 3 sector,,,,,,,,,,4,,,,,,,,,,
5/20/2026,NOW,Top 3 sector,,4,,,,,,,,,,,,,,,,,,
6/8/2026,NVDA,Magnificent 7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6/22/2026,ORCL,Top 3 sector,,4,,,,,,,,,,,,,,,,,,
7/29/2026,PAYX,Top 3 sector,,,,,,,,,,,,,,,,4,,,,
7/22/2026,PG,Top 3 sector,,,,,,,4,,,,,,,,,,,,,
7/29/2026,PM,Top 3 sector,,,,,,,4,,,,,,,,,,,,,
7/28/2026,QCOM,Top 3 sector,,,4,,,,,,,,,,,,,,,,,
,SBUX,Top 3 sector,,,,,,,,,,4,,,,,,,,,,
7/30/2026,SLB,Top 3 sector,,,,,,,,,4,,,,,,,,,,,
,SO,Top 3 sector,,,,,,,,,,,,4,,,,,,,,
7/30/2026,T,Top 3 sector,,,,,,,,,,,,,,,,,,4,,
7/17/2026,TMUS,Top 3 sector,,,,,,,,,,,,,,,,,,4,,
7/22/2026,TRV,Dow Jones 30,4,,,,,,,,,,,,,,,,,,,
7/14/2026,TSLA,Magnificent 7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
7/14/2026,UAL,Top 3 sector,,,,,,,,,,,,,,,4,,,,,
,UNH,Top 3 sector,,,,,,,,,,,,,,,,,,,4,
,UNP,Top 3 sector,,,,,,,,,,,,,,,4,,,,,
,UPS,Top 3 sector,,,,,,,,,,,,,,,,,,,,4
7/21/2026,URI,Top 3 sector,,,,,,,,,,,,,,4,,,,,,
7/21/2026,V,Top 3 sector,,,,4,,,,,,,,,,,,,,,,
7/22/2026,VZ,Top 3 sector,,,,,,,,,,,,,,,,,,4,,
7/24/2026,WAB,Top 3 sector,,,,,,,,,,,,,,4,,,,,,
5/21/2026,WM,Top 3 sector,,,,,,,,,,,,,,,,4,,,,
7/31/2026,WMT,Top 3 sector,,,,,4,,,,,,,,,,,,,,,
,XOM,Top 3 sector,,,,,,,,,4,,,,,,,,,,,
,XPO,Top 3 sector,,,,,,,,,,,,,,,,,,,,4
