Tipo_Evento,General,Technology Services,Electronic Technology,Finance,Retail Trade,Health Technology,Consumer Non-Durables,Producer Manufacturing,Energy Minerals,Consumer Services,Consumer Durables,Utilities,Non-Energy Minerals,Industrial Services,Transportation,Commercial Services,Process Industries,Communications,Health Services,Distribution Services
Fed Interest Rate Decision,3,2,2,3,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2
Non-Farm Payrolls,3,2,1,3,3,2,2,2,1,3,2,1,1,2,2,2,2,1,2,2
Inflation Rate YoY,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Retail Sales MoM,2,1,1,1,3,1,3,1,0,3,2,0,0,1,1,1,1,1,2,1
Core PCE Price Index MoM,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ISM Manufacturing PMI,2,1,1,1,1,1,1,3,2,1,2,1,2,3,2,2,3,1,1,2
JOLTs Job Openings,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
ISM Services PMI,2,2,2,2,2,2,2,2,1,3,2,1,1,2,2,2,2,2,2,2
Unemployment Rate,2,2,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
Inflation Rate MoM,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Core Inflation Rate YoY,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Core Inflation Rate MoM,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PPI MoM,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,2,2
Michigan Consumer Sentiment Prel,1,1,0,1,2,1,2,1,0,2,1,0,0,1,1,1,1,1,1,1
Fed Press Conference,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Housing Starts,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1
Building Permits Prel,1,1,1,1,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1
FOMC Economic Projections,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Existing Home Sales,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
Durable Goods Orders MoM,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,2,3,2,2,2
FOMC Minutes,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GDP Growth Rate QoQ 2nd Est,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Personal Spending MoM,1,1,1,1,2,1,2,1,0,2,1,0,0,1,1,1,1,1,1,1
Personal Income MoM,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
Fed Chair Powell Speech,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Reciprocal Tariff Plan Announcement,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
GDP Growth Rate QoQ 1st Est,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GDP Growth Rate QoQ 3rd Est,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GDP Growth Rate QoQ Final,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Fed chair Powell Testimony,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
