Symbol,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Valuation Grade,Growth Grade,Profitability Grade,Momentum Grade,EPS Revision Grade,Upcoming Announce Date,EPS Estimate,Revenue Estimate,Last Quarter Announce Date,EPS Actual,EPS Surprise,Revenue Actual,Revenue Surprise,Yield TTM,Payout Ratio,Div Consistency,Div Yield,Div Growth,Div Safety,Altman Z Score,Market Cap,P/E FWD,Price / Sales,EV / EBITDA,Price / Book,Net Income 3Y,Revenue 3Y,EPS Growth (FWD),EPS YoY,Revenue FWD,Revenue YoY,FCF Margin,EBITDA Margin,Profit Margin,Return on Assets,Return on Equity
A,3.11,4.00,4.33,D-,D-,A,C,A-,5/27/2026,1.40892,1799626250,2/25/2026,1.36,-0.00826,1798000000,-10013900,0.88%,17.74%,B,D,A-,A,5.04,32363618000,19.18,4.60,17.33,4.69,-0.84%,0.65%,7.56%,3.94%,6.41%,8.14%,12.11%,27.90%,52.30%,10.07%,19.95%
AA,4.86,3.66,3.92,C-,B-,B+,A,A+,-,2.21546,3927916200,4/16/2026,1.4,-0.14829,3193000000,-76152850,0.64%,9.90%,D-,D-,A-,B,1.75,16525970000,8.68,1.29,9.69,2.42,NM,2.28%,70.55%,8.34%,8.11%,-0.08%,8.53%,13.30%,16.14%,6.21%,15.43%
AAPL,3.48,3.42,4.12,F,D,A+,B-,B+,7/30/2026,1.80172,1.0493E+11,4/30/2026,2.01,0.06777,1.11184E+11,1605309450,0.37%,6.29%,B,D,A+,A,10.64,4.11452E+12,32.54,9.17,25.33,38.59,9.13%,5.44%,11.86%,28.90%,9.04%,12.76%,22.26%,35.44%,47.86%,33.03%,141.47%
ABCB,3.35,-,4.00,D-,C-,C,A-,B+,7/30/2026,1.66286,323684330,4/23/2026,1.63,0.075,315304000,6004670,0.94%,12.62%,C-,F,C+,D+,-,5740516400,12.64,4.97,-,1.41,10.15%,6.66%,11.25%,18.24%,6.94%,6.56%,-,-,-,1.55%,11.00%
ABT,2.82,4.22,4.32,C-,D,A+,D+,D,7/15/2026,1.27721,12534997780,4/16/2026,1.15,0.00378,11164000000,166294340,2.73%,46.83%,A,B,B,C+,3.65,1.55823E+11,16.31,3.45,15.61,2.99,2.64%,2.83%,9.10%,-53.65%,9.33%,6.59%,14.05%,26.02%,56.50%,5.68%,12.33%
ACM,3.22,4.00,4.50,B-,C+,B-,D-,A-,5/11/2026,1.53618,3943164690,2/9/2026,1.29,0.12664,3830834000,303765200,1.36%,20.80%,D,C+,B,C+,2.45,10873173000,14.16,0.70,10.48,4.87,11.67%,6.35%,13.54%,4.47%,3.09%,-1.62%,3.90%,7.87%,7.70%,3.93%,28.15%
ACN,3.12,4.00,4.14,B+,D-,A+,D,B-,6/18/2026,3.72668,18808052370,3/19/2026,2.93,0.09261,18044066000,204607620,3.54%,47.57%,A-,A,B,A-,5.21,1.10405E+11,12.96,1.55,8.71,3.54,3.29%,4.53%,7.65%,0.69%,6.32%,7.27%,16.87%,17.66%,32.03%,11.40%,24.76%
ADBE,3.08,4.20,3.53,B+,D,A+,D+,C+,6/11/2026,5.82517,6454288800,3/12/2026,6.06,0.18686,6398000000,121083430,-,-,-,-,-,-,8.92,1.01337E+11,10.67,4.30,10.63,8.90,15.02%,10.75%,12.73%,13.10%,9.76%,10.96%,38.12%,38.92%,89.40%,24.27%,58.77%
ADM,3.95,3.00,2.81,C+,C-,A-,A,B-,5/5/2026,0.65864,21350637500,2/3/2026,0.87,0.07309,18556000000,-2502611450,2.74%,59.65%,A+,C,C-,B+,2.90,36113220000,17.73,0.45,17.90,1.58,-37.14%,-7.54%,0.87%,-38.98%,1.15%,-6.15%,2.68%,3.14%,6.27%,2.06%,4.72%
ADP,3.20,3.00,3.16,C+,B,A+,D,B+,7/29/2026,2.59331,5437088540,4/29/2026,3.37,0.07445,5939200000,90810870,3.03%,14.34%,A+,B+,B-,A-,2.40,85812530000,19.36,4.01,13.70,13.51,10.05%,6.94%,9.69%,9.59%,6.30%,6.92%,22.56%,29.36%,48.50%,6.74%,71.21%
AEE,3.07,3.00,4.00,C-,C+,B-,B-,C+,5/6/2026,1.18342,2247444100,2/11/2026,0.78,0.01111,1782000000,68986000,2.54%,56.46%,A-,D+,B,A-,-,31416740000,21.14,3.63,13.83,2.34,10.68%,3.40%,7.79%,21.04%,8.58%,15.65%,-17.53%,43.91%,49.24%,3.00%,11.34%
AEM,4.30,3.66,4.00,C-,B-,A+,B-,B+,7/29/2026,3.28445,4154223180,4/30/2026,3.4,0.19047,4099589000,83568120,0.90%,16.18%,C+,C-,A,A,6.87,91786650000,13.62,6.80,9.32,3.49,31.15%,31.71%,48.89%,125.73%,28.75%,51.71%,31.50%,70.48%,73.87%,15.20%,22.30%
